# Generated by .omo/evidence/task-r3-opencode-inventory-generator.py
# Scope: case-sensitive lowercase `opencode` in crates/*/src/**/*
# Source snapshot SHA-256: 7b1e580cc588eeb01d59c40c68a264f24b8d01d3db3600d67456e41c7a5efa5a
# Total occurrences: 852
# Classified occurrences: 852
# Unclassified occurrences: 0
# historical-citation: 55
# plugin-abi: 69
# unclassified: 0
# upstream-artifact-reference: 728
# zuno-owned-stale-identity: 0
path	line	column	class	reason	source
crates/oc-auth/src/store.rs	30	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `opencode auth list` read it and printed all three credentials, and left the
crates/oc-auth/src/store.rs	150	23	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	/// in `.omo/notepads/opencode-rust/decisions.md`.
crates/oc-auth/src/store.rs	227	49	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	/// to. See the task-24 entry in `.omo/notepads/opencode-rust/decisions.md`.
crates/oc-catalog/src/agent/builtin.rs	1	30	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! The seven native agents `opencode` defines before any user config is read.
crates/oc-catalog/src/agent/builtin.rs	3	23	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Oracle: `packages/opencode/src/agent/agent.ts:140-265`.
crates/oc-catalog/src/agent/frontmatter.rs	4	49	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! `sanitize` retry at `:22-35`) and `packages/opencode/src/config/markdown.ts`
crates/oc-catalog/src/agent/frontmatter.rs	12	33	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! chosen by probing the real `opencode` 1.18.12 binary rather than by reading
crates/oc-catalog/src/agent/frontmatter.rs	1050	29	upstream-artifact-reference	explicit upstream implementation or oracle reference	        // Verified against opencode 1.18.12: `color: #ff5733` unquoted made the
crates/oc-catalog/src/agent/frontmatter.rs	1204	29	upstream-artifact-reference	explicit upstream implementation or oracle reference	        // Verified against opencode 1.18.12. gray-matter fails on the unclosed
crates/oc-catalog/src/agent.rs	4	23	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Oracle: `packages/opencode/src/config/agent.ts:11-30` (discovery, name
crates/oc-catalog/src/agent.rs	5	44	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! derivation, body-to-prompt), `packages/opencode/src/config/entry-name.ts`
crates/oc-catalog/src/agent.rs	9	15	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! `packages/opencode/src/agent/agent.ts:140-294` (the built-ins, the override
crates/oc-catalog/src/agent.rs	18	37	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! was confirmed against the real `opencode` 1.18.12 binary rather than read off
crates/oc-catalog/src/agent.rs	20	7	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `.opencode/agent/deep/nested/thing.md` made `opencode agent list` print
crates/oc-catalog/src/agent.rs	20	50	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `.opencode/agent/deep/nested/thing.md` made `opencode agent list` print
crates/oc-catalog/src/agent.rs	35	70	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! global config < OPENCODE_CONFIG < project files < per-directory .opencode
crates/oc-catalog/src/agent.rs	40	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `opencode.json` with `mode: primary` and in `agent/collide.md` with
crates/oc-catalog/src/agent.rs	623	32	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	/// Every agent, in the order `opencode agent list` prints them.
crates/oc-catalog/src/agent.rs	731	29	upstream-artifact-reference	explicit upstream implementation or oracle reference	        // Verified against opencode 1.18.12: this fixture printed
crates/oc-catalog/src/agent.rs	918	29	upstream-artifact-reference	explicit upstream implementation or oracle reference	        // Verified against opencode 1.18.12: `agent/original.md` carrying
crates/oc-catalog/src/command/initialize.txt	15	39	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	- repo-local OpenCode config such as `opencode.json`
crates/oc-catalog/src/command/initialize.txt	60	57	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	- content better stored in another file referenced via `opencode.json` `instructions`
crates/oc-catalog/src/command/tests.rs	7	57	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! Every expected value here was observed on the real `opencode` binary
crates/oc-catalog/src/command/tests.rs	10	51	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	//! inferred. Transcripts: `.omo/evidence/task-15-opencode-rust.txt`.
crates/oc-catalog/src/command/tests.rs	430	26	plugin-abi	retained plugin package, SDK, host, or semver contract	        name: "customize-opencode".to_owned(),
crates/oc-catalog/src/command/tests.rs	440	33	plugin-abi	retained plugin package, SDK, host, or semver contract	                .get("customize-opencode")
crates/oc-catalog/src/command.rs	10	23	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Oracle: `packages/opencode/src/command/index.ts:65-152`. Each level writes
crates/oc-catalog/src/command.rs	32	7	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! (`opencode` 1.18.12, `GET /command`) against a fixture that collides all
crates/oc-catalog/src/command.rs	34	28	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	//! `.omo/evidence/task-15-opencode-rust.txt`:
crates/oc-catalog/src/command.rs	47	15	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! `packages/opencode/src/mcp/catalog.ts:100-105` keys them
crates/oc-catalog/src/command.rs	57	23	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Oracle: `packages/opencode/src/session/prompt.ts:1372-1395`, with the three
crates/oc-catalog/src/command.rs	220	20	plugin-abi	retained plugin package, SDK, host, or semver contract	    /// `customize-opencode`, whose command template is its body with no footer.
crates/oc-catalog/src/command.rs	258	26	upstream-artifact-reference	explicit upstream implementation or oracle reference	/// Shape from `packages/opencode/src/mcp/index.ts:169` — the prompt record plus
crates/oc-catalog/src/formatter.rs	9	15	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! `packages/opencode/src/format/index.ts:120-157`:
crates/oc-catalog/src/lsp_config.rs	10	15	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! `packages/opencode/src/lsp/lsp.ts:151-180`:
crates/oc-catalog/src/reference/tests.rs	102	47	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    let resolved = parse_json(raw, Path::new("opencode.json")).expect("both entries are valid");
crates/oc-catalog/src/reference/tests.rs	116	54	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    let error = parse_json(r#"{"x":{}}"#, Path::new("opencode.json"))
crates/oc-catalog/src/reference/tests.rs	121	33	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    assert_eq!(path, Path::new("opencode.json"));
crates/oc-catalog/src/reference/tests.rs	131	22	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        "config file opencode.json failed validation (1 issue(s))"
crates/oc-catalog/src/reference/tests.rs	137	70	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    let error = parse_json(r#"{"x":{},"ok":"s","y":42}"#, Path::new("opencode.json"))
crates/oc-catalog/src/reference/tests.rs	153	44	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    let error = parse_json("{", Path::new("opencode.json")).expect_err("truncated object");
crates/oc-catalog/src/skill/builtin.rs	4	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `opencode.json` is often wrong and opencode hard-fails on invalid config, so
crates/oc-catalog/src/skill/builtin.rs	4	40	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `opencode.json` is often wrong and opencode hard-fails on invalid config, so
crates/oc-catalog/src/skill/builtin.rs	6	42	plugin-abi	retained plugin package, SDK, host, or semver contract	//! discovery so a user's own `customize-opencode` on disk overrides it.
crates/oc-catalog/src/skill/builtin.rs	15	43	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//!   the v2 copy also lists `commands`. `opencode debug skill` 1.18.13 prints the
crates/oc-catalog/src/skill/builtin.rs	21	35	plugin-abi	retained plugin package, SDK, host, or semver contract	pub const NAME: &str = "customize-opencode";
crates/oc-catalog/src/skill/builtin.rs	27	104	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	pub const DESCRIPTION: &str = "Use ONLY when the user is editing or creating Zuno's own configuration: opencode.json, opencode.jsonc, files under .zuno/, or files under ~/.config/zuno/. Also use when creating or fixing Zuno agents, subagents, skills, plugins, MCP servers, or permission rules. Do not use for the user's own application code, or for any project that is not configuring Zuno itself.";
crates/oc-catalog/src/skill/builtin.rs	27	119	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	pub const DESCRIPTION: &str = "Use ONLY when the user is editing or creating Zuno's own configuration: opencode.json, opencode.jsonc, files under .zuno/, or files under ~/.config/zuno/. Also use when creating or fixing Zuno agents, subagents, skills, plugins, MCP servers, or permission rules. Do not use for the user's own application code, or for any project that is not configuring Zuno itself.";
crates/oc-catalog/src/skill/builtin.rs	30	47	plugin-abi	retained plugin package, SDK, host, or semver contract	/// `packages/core/src/plugin/skill/customize-opencode.md` at 1.18.13.
crates/oc-catalog/src/skill/builtin.rs	31	51	plugin-abi	retained plugin package, SDK, host, or semver contract	pub const CONTENT: &str = include_str!("customize-opencode.md");
crates/oc-catalog/src/skill/customize-opencode.md	19	12	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	**<https://opencode.ai/config.json>**
crates/oc-catalog/src/skill/customize-opencode.md	26	23	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	Independently, every `opencode.json` should declare
crates/oc-catalog/src/skill/customize-opencode.md	27	22	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	`"$schema": "https://opencode.ai/config.json"` so the user's editor catches
crates/oc-catalog/src/skill/customize-opencode.md	33	20	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	saving changes to `opencode.json`, an agent file, a skill, a plugin, or any
crates/oc-catalog/src/skill/customize-opencode.md	42	38	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	| Project config                | `./opencode.json`, `./opencode.jsonc`, or `.zuno/opencode.json` (Zuno walks up from the cwd to the worktree root)          |
crates/oc-catalog/src/skill/customize-opencode.md	42	57	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	| Project config                | `./opencode.json`, `./opencode.jsonc`, or `.zuno/opencode.json` (Zuno walks up from the cwd to the worktree root)          |
crates/oc-catalog/src/skill/customize-opencode.md	42	84	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	| Project config                | `./opencode.json`, `./opencode.jsonc`, or `.zuno/opencode.json` (Zuno walks up from the cwd to the worktree root)          |
crates/oc-catalog/src/skill/customize-opencode.md	43	51	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	| Global config                 | `~/.config/zuno/opencode.json` (NOT `~/.zuno/`)                                                                           |
crates/oc-catalog/src/skill/customize-opencode.md	53	20	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	top-level keys in `opencode.json` are rejected with `ConfigInvalidError`.
crates/oc-catalog/src/skill/customize-opencode.md	55	4	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	## opencode.json
crates/oc-catalog/src/skill/customize-opencode.md	61	23	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	  "$schema": "https://opencode.ai/config.json",
crates/oc-catalog/src/skill/customize-opencode.md	125	6	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	    "opencode-gemini-auth",
crates/oc-catalog/src/skill/customize-opencode.md	126	6	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	    "opencode-foo@1.2.3",
crates/oc-catalog/src/skill/customize-opencode.md	128	7	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	    ["opencode-bar", { "option": "value" }]
crates/oc-catalog/src/skill/customize-opencode.md	228	17	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	### Inline (in `opencode.json`)
crates/oc-catalog/src/skill/customize-opencode.md	314	4	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	  "opencode-gemini-auth",            // npm spec, latest
crates/oc-catalog/src/skill/customize-opencode.md	315	4	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	  "opencode-foo@1.2.3",              // npm spec, pinned
crates/oc-catalog/src/skill/customize-opencode.md	318	5	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	  ["opencode-bar", { "key": "val" }] // tuple form with options
crates/oc-catalog/src/skill/customize-opencode.md	331	31	plugin-abi	retained plugin package, SDK, host, or semver contract	import type { Plugin } from "@opencode-ai/plugin"
crates/oc-catalog/src/skill/customize-opencode.md	429	62	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	- `ZUNO_DISABLE_PROJECT_CONFIG=1`: skip the project's local `opencode.json`
crates/oc-catalog/src/skill/customize-opencode.md	433	49	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	- `OPENCODE_CONFIG_CONTENT='{"$schema":"https://opencode.ai/config.json"}'`:
crates/oc-catalog/src/skill/customize-opencode.md	445	12	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	  `https://opencode.ai/config.json` and read the schema rather than guessing.
crates/oc-catalog/src/skill/customize-opencode.md	448	56	upstream-artifact-reference	upstream oracle harness, bundled skill, or captured snapshot	  in the correct location over inlining everything in `opencode.json`.
crates/oc-catalog/src/skill/discovery.rs	3	41	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Port of `discoverSkills` (`packages/opencode/src/skill/index.ts:173-233`).
crates/oc-catalog/src/skill/discovery.rs	4	45	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! Every root below was confirmed against `opencode debug skill` 1.18.13 with a
crates/oc-catalog/src/skill/discovery.rs	185	65	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    /// Where a pulled remote skill is cached: `$XDG_CACHE_HOME/opencode/skills`
crates/oc-catalog/src/skill/frontmatter.rs	14	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `opencode debug skill` 1.18.13 on a crafted fixture rather than read off the
crates/oc-catalog/src/skill/remote.rs	3	23	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Port of `packages/opencode/src/skill/discovery.ts` (opencode 1.18.13).
crates/oc-catalog/src/skill/remote.rs	3	57	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Port of `packages/opencode/src/skill/discovery.ts` (opencode 1.18.13).
crates/oc-catalog/src/skill/remote.rs	15	56	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! 4. Each surviving entry caches to `$XDG_CACHE_HOME/opencode/skills/<name>/`.
crates/oc-catalog/src/skill/remote.rs	17	41	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! 5. With no `version`, or a cached `.opencode-version` that already matches,
crates/oc-catalog/src/skill/remote.rs	67	34	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	pub const VERSION_FILE: &str = ".opencode-version";
crates/oc-catalog/src/skill/remote.rs	98	38	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	/// `cache_root` is `$XDG_CACHE_HOME/opencode/skills` — the caller passes it so
crates/oc-catalog/src/skill/render.rs	3	36	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Port of `Skill.fmt` (`packages/opencode/src/skill/index.ts:321-346`). These
crates/oc-catalog/src/skill/render.rs	102	29	upstream-artifact-reference	explicit upstream implementation or oracle reference	/// `escapeHtml` (`packages/opencode/src/util/html.ts`), entity-for-entity.
crates/oc-catalog/src/skill/render.rs	274	24	plugin-abi	retained plugin package, SDK, host, or semver contract	            "customize-opencode",
crates/oc-catalog/src/skill/render.rs	284	28	plugin-abi	retained plugin package, SDK, host, or semver contract	                "customize-opencode",
crates/oc-catalog/src/skill/scan.rs	15	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! `opencode debug skill` 1.18.13:
crates/oc-catalog/src/skill.rs	3	23	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! Port of `packages/opencode/src/skill/index.ts` and `skill/discovery.ts`
crates/oc-catalog/src/skill.rs	4	6	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! (opencode 1.18.13). A skill is a user-authored capability pack: a `SKILL.md`
crates/oc-catalog/src/skill.rs	41	9	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	//! of `opencode debug skill` over one fixture with the same `name` under
crates/oc-catalog/src/skill.rs	88	43	upstream-artifact-reference	explicit upstream implementation or oracle reference	/// Field order is the oracle's, because `opencode debug skill` prints this struct
crates/oc-catalog/src/skill.rs	341	29	plugin-abi	retained plugin package, SDK, host, or semver contract	/// The built-in `customize-opencode` is registered **before** disk discovery
crates/oc-catalog/src/skill.rs	613	49	upstream-artifact-reference	explicit upstream implementation or oracle reference	        assert!(!builtin::DESCRIPTION.contains("opencode's own configuration"));
crates/oc-catalog/src/skill.rs	616	44	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        assert!(built_in.content.contains("opencode.json"));
crates/oc-cli/src/cmd/agent.rs	238	52	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	                Path::new("/home/user/.local/share/opencode/plans/*.md")
crates/oc-cli/src/cmd/agent.rs	240	43	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	            "../../home/user/.local/share/opencode/plans/*.md"
crates/oc-cli/src/cmd/agent.rs	251	27	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	                    "/tmp/opencode/*",
crates/oc-cli/src/cmd/agent.rs	262	44	historical-citation	immutable plan, evidence, checkout, or pre-rename citation	        assert_eq!(rules[3].pattern, "/tmp/opencode/*");
crates/oc-cli/src/cmd/db_maint.rs	7	16	upstream-artifact-reference	explicit upstream implementation or oracle reference	//! (`packages/opencode/src/cli/cmd/db.ts:8-62`), and nothing anywhere in the
crates/oc-cli/src/cmd/debug.rs	157	34	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    for name in ["config.json", "opencode.json", "opencode.jsonc"] {
crates/oc-cli/src/cmd/debug.rs	157	51	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    for name in ["config.json", "opencode.json", "opencode.jsonc"] {
crates/oc-cli/src/cmd/debug.rs	172	14	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	            "opencode",
crates/oc-cli/src/cmd/debug.rs	192	73	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	            for path in oc_paths::Layout::file_in_directory(directory, "opencode") {
crates/oc-cli/src/cmd/debug.rs	223	68	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        for path in oc_paths::Layout::file_in_directory(&managed, "opencode") {
crates/oc-cli/src/cmd/mcp.rs	391	32	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    let json = directory.join("opencode.json");
crates/oc-cli/src/cmd/mcp.rs	395	33	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    let jsonc = directory.join("opencode.jsonc");
crates/oc-cli/src/cmd/mcp.rs	408	131	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	            "cannot safely update {}: this build has no comment-preserving JSONC editor; add the MCP entry manually or provide an opencode.json target",
crates/oc-cli/src/cmd/mcp.rs	415	36	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        json!({"$schema": "https://opencode.ai/config.json"})
crates/oc-cli/src/cmd/mcp.rs	573	43	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        let path = directory.path().join("opencode.json");
crates/oc-cli/src/cmd/mcp.rs	592	43	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        let path = directory.path().join("opencode.jsonc");
crates/oc-cli/src/cmd/providers.rs	238	49	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        reqwest::get(format!("{url}/.well-known/opencode"))
crates/oc-cli/src/cmd/serve.rs	192	29	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    if args.mdns_domain != "opencode.local" {
crates/oc-cli/src/cmd/session_prune.rs	79	71	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        std::env::var("OPENCODE_SERVER_USERNAME").unwrap_or_else(|_| "opencode".to_owned());
crates/oc-cli/src/cmd/session_prune.rs	355	59	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        let database = DbLocation::File(temp.path().join("opencode.db"));
crates/oc-cli/src/cmd/session_prune.rs	411	59	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        let database = DbLocation::File(temp.path().join("opencode.db"));
crates/oc-cli/src/cmd/tool_runtime.rs	217	42	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        Config::from_json_str(Path::new("opencode.json"), text).expect("memory config")
crates/oc-cli/src/cmd/turn.rs	1176	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	/// `opencode.json` keeps working. Like the endpoint keys it is **excluded** from the
crates/oc-cli/src/cmd/turn.rs	1307	16	upstream-artifact-reference	explicit upstream implementation or oracle reference	/// (`packages/opencode/src/provider/provider.ts:1698-1700`), with the bedrock loader's
crates/oc-cli/src/cmd/turn.rs	1317	55	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	/// → the catalog's entry (`:1455`) — and it is what `opencode models --verbose`
crates/oc-cli/src/cmd/turn_tests.rs	1044	33	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        origin: "https://models.opencode.ai".to_owned(),
crates/oc-cli/src/cmd/turn_tests.rs	1102	25	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	        "https://models.opencode.ai",
crates/oc-cli/src/cmd/turn_tests.rs	1847	6	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	/// `opencode auth login`, and reading only the credential is the bug this todo fixes.
crates/oc-cli/src/command.rs	223	46	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	/// default command *is* the TUI and a bare `opencode --prompt …` has to reach it.
crates/oc-cli/src/command.rs	258	34	upstream-artifact-reference	retained upstream wire, path, provider, fixture, or persisted identifier	    #[arg(long, default_value = "opencode.local")]
crates/oc-cli/src/disposition.rs	23	41	upstream-artifact-reference	explicit upstream implementation or oracle reference	    /// Symbol extracted from `packages/opencode/src/index.ts`.
